video_id,title,description,likes,views,date_published,publisher,child_friendly,nsfw_word_count,violent_word_count,swear_word_count
ULEQb_l-N08,"K.G.F Full Movie | Yash, Srinidhi Shetty, Ananth Nag, Ramachandra Raju, Achyuth Kumar, Malavika","Rocky, a young man, seeks power and wealth in order to fulfil a promise to his dying mother. His que...",6733507,717139752,2020-12-13,Goldmines,0,0,0,0
eHzXZ7U2jHc,Y F O x Trippy,,176,13953,2018-03-26,The Vision Films,0,0,0,0
wvoVR8oEUCg,PROMO - AQ8 SYSTEM - EMS TRAINING -TORONTO,"With money to invest?
Meet the Electro Fitness market  
and join the thousands of Franchises around ...",21,3240,2019-06-05,AQ8 System,0,0,0,0
PKOk0p7dHxc,Flying A Plane That Doesn't Exist | F-19,"Second channel: https://www.youtube.com/channel/UCbLnQ4KteIhjo0CXiq2U_eQ

Today's Video: Flying A Pl...",1408,29497,2023-03-22,Swiss001,0,0,0,0
TDDsEYNnHrs,"Q2C VR Gamer Live Episode #90 Hacking the PSVR 2, New Releases, & games we want on PSVR 2","Its a jam packed show full of new game releases, VR hardware news and our Wishlist of psvr2 games. c...",44,371,2023-05-12,Q2C - VR  GAMER,0,0,0,0
enq-GQY8smw,Is Pfizer Stock a Buy Near its 52-week Low? PFE stock analysis,"Friends!  Im going to do a Pfizer stock analysis, and discuss the recent acquisition & upside potent...",121,3269,2023-03-08,The Patient Investor,0,0,0,0
BF18eQrYlHQ,"Four G5s, in ONE PowerMac? It's the fabled G5 QUAD!",Head to https://squarespace.com/ActionRetro to save 10% off your first purchase of a website or doma...,2808,52790,2022-01-29,Action Retro,0,0,0,0
UUJixQF-zIA,CALLING SQUIDWARD ON FACETIME AT 3 AM!! (HE CAME TO MY HOUSE),"Subscribe and become a JESTER!  http://bit.ly/SUBJESTER
Subscribe to my SECOND channel  http://bit.l...",282446,22461303,2018-04-17,Jester,0,0,0,0
GkaRIjZuXdM,AZX IS BACK ,"Instagram: https://www.instagram.com/jelson_bsd/

#freefire #highlights #azx",36,1149,2021-05-09,AZX,0,0,0,0
EAXtgM62mxg,Wzb Wreezedboy X Bigfatt - EAST VIBEZ [Official Music Video],"Artist : Wzb Wreezedboy x Bigfatt 
Lyric : Wzb Wreezedboy, Bigfatt
Editor : Jinny
Beat : 9%
Produced...",235,6499,2022-02-12,E RECORD,0,0,0,0
wvoVR8oEUCg,PROMO - AQ8 SYSTEM - EMS TRAINING -TORONTO,"With money to invest?
Meet the Electro Fitness market  
and join the thousands of Franchises around ...",21,3240,2019-06-05,AQ8 System,0,0,0,0
zGt3JrWeDlw,What is EDI? | How it Works,"Electronic Data Interchange  or EDI  is the secure, automated exchange of electronic documents, such...",48,6491,2021-04-30,TrueCommerce UK,0,0,0,0
cAqQkIkPMkM,OUKITEL WP8 Pro Unboxing video & Waterproof Test,"Add to Cart: https://bit.ly/3lOHjhL
Giveaway: https://bit.ly/2Ds2V2c
Oukitel WP8 Pro Start Sale on S...",820,63989,2020-09-25,Gadget 4 Deals,0,0,0,0
pn6yplfWItY,6bb,,1,28,2019-09-05,Sasina Calderon,0,0,0,0
uyx2DaQZ6V8,Enima - Moi [Clip Officiel],"Aidez la famille de Meriem : https://www.gofundme.com/f/aidons-la-famille-de-la-dfunte-meriem


Abon...",28746,5707595,2021-02-18,Enima,0,0,0,0
uAQUvu7Hh6U,PLAYDATE !! NENG DICKY & KIKY SAPUTRI SALING SPILL KENAKALAN ?!,"Angel tengah menyiapkan kejutan untuk ulang tahun Kiky, dibantu oleh sahabat Kiky, Neneng & Dicky  D...",285,7620,2023-05-16,KUY Entertainment ,0,0,0,0
1PnZf9U1HxQ,Asake - Omo Ope (feat. Olamide) (Official Video),"Listen to the EP Ololade Asake"". Out Now!
Stream: https://music.empi.re/ololadeasake

#Asake  #Olami...",167487,32114819,2022-02-16,ASAKE,0,0,0,0
7BXojJHrGlU,The BEST Small Creek Trout Fly Fishing Rod | 1wt - 2wt - 3wt,"When I fish small creeks for fun fighting wild trout, I love using a 1wt. Here is an incredibly vers...",91,14173,2021-04-11,Twig 'N' Timber Fishing & Outdoors,0,0,0,0
